Trajectory Recorded at ,Fri Dec 18 17:07:18 2020,Duration: 62.1581s

Time Stamp,Time Stamp,Position,Position,Position,Position,Position,Position,Velocity,Velocity,Velocity,Velocity,Velocity,Velocity,Extra Data,Extra Data
seconds,nseconds,shoulder_pan_joint,shoulder_lift_joint,elbow_joint,wrist_1_joint,wrist_2_joint,wrist_3_joint,shoulder_pan_joint,shoulder_lift_joint,elbow_joint,wrist_1_joint,wrist_2_joint,wrist_3_joint,name,value
1608307638,923351626,0.96441,-1.78792,-1.6346,0.300049,1.63286,0.157727,0,-0,-0,0,0,-2.08954e-05,,0
1608307638,925342757,0.964434,-1.78794,-1.63459,0.300038,1.63288,0.157775,0,-0,-0,0,0,-2.04213e-05,,0
1608307638,927341264,0.964446,-1.78792,-1.63458,0.299954,1.63283,0.157751,0,-0,-0,0,0,-1.99682e-05,,0
1608307638,929338084,0.96441,-1.78786,-1.63458,0.300002,1.63288,0.157751,0,-0,-0,0,0,-1.95347e-05,,0
1608307638,931368523,0.964446,-1.78789,-1.63459,0.300026,1.63286,0.157763,0,-0,-0,0,0,-1.91198e-05,,0
1608307638,933342556,0.96447,-1.78793,-1.63458,0.300002,1.63283,0.157739,0,-0,-0,0,0,-1.87221e-05,,0
1608307638,935326505,0.964458,-1.78792,-1.63459,0.300002,1.63287,0.157763,0,-0,-0,0,0,-1.83405e-05,,0
1608307638,937342896,0.964446,-1.78792,-1.63459,0.29999,1.63287,0.157799,0,-0,-0,0,0,-1.79742e-05,,0
1608307638,939331238,0.964458,-1.78793,-1.6346,0.300014,1.63287,0.157739,0,-0,-0,0,0,-1.76223e-05,,0
1608307638,941334929,0.964458,-1.78792,-1.63456,0.300002,1.63283,0.157787,0,-0,-0,0,0,-1.72839e-05,,0
1608307638,943328371,0.964398,-1.78795,-1.6346,0.300026,1.63282,0.157787,0,-0,-0,0,0,-1.69582e-05,,0
1608307638,945323686,0.964434,-1.78792,-1.6346,0.299978,1.63284,0.157775,0,-0,-0,0,0,-1.66446e-05,,0
1608307638,947327010,0.96441,-1.78796,-1.6346,0.300002,1.63284,0.157823,0,-0,-0,0,0,-1.63424e-05,,0
